,data,sigla_estado,total_casos,total_obitos,novos_casos,novos_obitos,mm_7dias_novos_casos,mm_7dias_novos_obitos,pop,cod_uf,estado,total_casos%,total_obitos%,novos_casos%,novos_obitos%,mm_7dias_novos_casos%,mm_7dias_novos_obitos%
77,2020-03-14,PR,6.0,0.0,0.0,0.0,0.0,0.0,11433957,41,Paraná,0.05247527168415973,0.0,0.0,0.0,0.0,0.0
78,2020-03-14,RJ,15.0,0.0,0.0,0.0,1.7142857142857142,0.0,17264943,33,Rio de Janeiro,0.08688125990337761,0.0,0.0,0.0,0.009929286846100298,0.0
79,2020-03-14,RN,1.0,0.0,0.0,0.0,0.0,0.0,3506853,24,Rio Grande do Norte,0.028515595036347402,0.0,0.0,0.0,0.0,0.0
80,2020-03-14,RS,4.0,0.0,0.0,0.0,0.0,0.0,11377239,43,Rio Grande do Sul,0.035157914850870234,0.0,0.0,0.0,0.0,0.0
81,2020-03-14,SC,5.0,0.0,2.0,0.0,0.0,0.0,7164788,42,Santa Catarina,0.0697857354607003,0.0,0.02791429418428012,0.0,0.0,0.0
82,2020-03-14,SE,1.0,0.0,1.0,0.0,0.0,0.0,2298696,28,Sergipe,0.04350292513668619,0.0,0.04350292513668619,0.0,0.0,0.0
83,2020-03-14,SP,65.0,0.0,19.0,0.0,7.142857142857143,0.0,45919049,35,São Paulo,0.14155345421025597,0.0,0.041377163538382514,0.0,0.015555324638489668,0.0
84,2020-03-15,AL,1.0,0.0,0.0,0.0,0.0,0.0,3337357,27,Alagoas,0.0299638306600103,0.0,0.0,0.0,0.0,0.0
85,2020-03-15,AM,2.0,0.0,0.0,0.0,0.0,0.0,4144597,13,Amazonas,0.04825559638247096,0.0,0.0,0.0,0.0,0.0
86,2020-03-15,BA,9.0,0.0,2.0,0.0,0.42857142857142855,0.0,14873064,29,Bahia,0.060512077403822105,0.0,0.013447128311960467,0.0,0.0028815274954201,0.0
87,2020-03-15,DF,14.0,0.0,6.0,0.0,1.8571428571428572,0.0,3015268,53,Distrito Federal,0.4643036705195027,0.0,0.19898728736550117,0.0,0.061591303232178936,0.0
88,2020-03-15,GO,4.0,0.0,0.0,0.0,0.0,0.0,7018354,52,Goiás,0.05699342039458255,0.0,0.0,0.0,0.0,0.0
89,2020-03-15,MG,4.0,0.0,0.0,0.0,0.0,0.0,21168791,31,Minas Gerais,0.018895741377011093,0.0,0.0,0.0,0.0,0.0
90,2020-03-15,MS,2.0,0.0,0.0,0.0,0.0,0.0,2778986,50,Mato Grosso do Sul,0.0719686964957722,0.0,0.0,0.0,0.0,0.0
91,2020-03-15,PE,7.0,0.0,1.0,0.0,0.0,0.0,9557071,26,Pernambuco,0.07324419793470197,0.0,0.010463456847814566,0.0,0.0,0.0
92,2020-03-15,PR,6.0,0.0,0.0,0.0,0.0,0.0,11433957,41,Paraná,0.05247527168415973,0.0,0.0,0.0,0.0,0.0
93,2020-03-15,RJ,24.0,0.0,9.0,0.0,2.857142857142857,0.0,17264943,33,Rio de Janeiro,0.13901001584540418,0.0,0.05212875594202657,0.0,0.016548811410167164,0.0
94,2020-03-15,RN,1.0,0.0,0.0,0.0,0.0,0.0,3506853,24,Rio Grande do Norte,0.028515595036347402,0.0,0.0,0.0,0.0,0.0
95,2020-03-15,RS,4.0,0.0,0.0,0.0,0.0,0.0,11377239,43,Rio Grande do Sul,0.035157914850870234,0.0,0.0,0.0,0.0,0.0
96,2020-03-15,SC,6.0,0.0,1.0,0.0,0.0,0.0,7164788,42,Santa Catarina,0.08374288255284036,0.0,0.01395714709214006,0.0,0.0,0.0
97,2020-03-15,SE,1.0,0.0,0.0,0.0,0.0,0.0,2298696,28,Sergipe,0.04350292513668619,0.0,0.0,0.0,0.0,0.0
98,2020-03-15,SP,65.0,0.0,0.0,0.0,6.714285714285714,0.0,45919049,35,São Paulo,0.14155345421025597,0.0,0.0,0.0,0.014622005160180288,0.0
99,2020-03-16,AL,1.0,0.0,0.0,0.0,0.0,0.0,3337357,27,Alagoas,0.0299638306600103,0.0,0.0,0.0,0.0,0.0
100,2020-03-16,AM,2.0,0.0,0.0,0.0,0.0,0.0,4144597,13,Amazonas,0.04825559638247096,0.0,0.0,0.0,0.0,0.0
